,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,ttFatJetParTXtauhtauevsQCDTop >= 0.3,bbFatJetParTXbbvsQCD < 0.855 or BDTScoretauhtauevsAll < 0.9918
JetMET,12486.0,12091.0,5726.0,5711.0,5696.0
Tau,1909.0,1895.0,540.0,529.0,529.0
EGamma,400.0,387.0,113.0,110.0,109.0
QCD Multijet,6618.707135754944,6458.481884764044,1605.4657617469143,1605.4063718025893,1605.3617630941415
TT Had,143.7912862079276,136.36213557221473,56.720246861586745,56.720246861586745,56.66837723864212
TT SL,654.7505861057277,624.6314501786433,473.3450178940579,463.8541674965846,459.2650726489619
TT LL,351.591236241714,336.81726428823663,270.4948280459863,263.1047306630338,261.6539167677648
DY+Jets,1844.0795924092686,1833.442899659278,1761.2920280917601,1758.1335512149228,1757.3390462043526
W+Jets,152.80235983953747,142.44317422062812,51.50930155912326,51.386754869828835,51.386754869828835
Z+Jets,129.14857539812704,123.92391342973364,33.659119622629234,33.691242563177774,33.50422750263981
Hbb,8.334469759129833,8.135589562425839,5.258341746785588,5.255560493880591,5.119424582979027
ggF HHbb$\tau\tau$,0.5884601553519198,0.5785753741771895,0.5233310999468843,0.5232500948795579,0.48317231375372205
VBF HHbb$\tau\tau$ (SM),0.010327228479358082,0.009958962449651377,0.009024920364705298,0.009021313741391472,0.008329903398115568
ggF HHbb$\tau_h e$,0.13712334250317615,0.13469006532353697,0.1244428260834441,0.1244428260834441,0.08795428347730243
VBF HHbb$\tau_h e$ (SM),0.0024717914909483376,0.0023860460571703823,0.002186518992472864,0.0021861494321883494,0.0015648068091195363
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),1.6332942223171074,1.617582033249455,1.5339879273192276,1.5339676928632773,1.0519858310459493
