,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.855,BDTScoretauhtauevsAll >= 0.9918
JetMET,12486.0,12091.0,5726.0,450.0,15.0
Tau,1909.0,1895.0,540.0,31.0,0.0
EGamma,400.0,387.0,113.0,7.0,1.0
QCD Multijet,6618.707135754944,6458.481884764044,1605.4657617469143,90.00222282873136,0.04460870844800534
TT Had,143.7912862079276,136.36213557221473,56.720246861586745,4.190809469263913,0.0518696229446209
TT SL,654.7505861057277,624.6314501786433,473.3450178940579,39.012051100990554,4.58909484762271
TT LL,351.591236241714,336.81726428823663,270.4948280459863,19.071880316521753,1.4508138952689593
DY+Jets,1844.0795924092686,1833.442899659278,1761.2920280917601,33.41367759889383,0.7945050105701983
W+Jets,152.80235983953747,142.44317422062812,51.50930155912326,0.6895865089587488,0.0
Z+Jets,129.14857539812704,123.92391342973364,33.659119622629234,11.233655332326107,0.18701506053796593
Hbb,8.334469759129833,8.135589562425839,5.258341746785588,2.9051927049114052,0.13613591090156427
ggF HHbb$\tau\tau$,0.5884601553519198,0.5785753741771895,0.5233310999468843,0.31227916698054903,0.04007778112583589
VBF HHbb$\tau\tau$ (SM),0.010327228479358082,0.009958962449651377,0.009024920364705298,0.0053888838016474426,0.0006914103432759053
ggF HHbb$\tau_h e$,0.13712334250317615,0.13469006532353697,0.1244428260834441,0.07416923200090017,0.036488542606141684
VBF HHbb$\tau_h e$ (SM),0.0024717914909483376,0.0023860460571703823,0.002186518992472864,0.001321926457665834,0.0006213426230688132
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),1.6332942223171074,1.617582033249455,1.5339879273192276,1.0890836871306062,0.48198186181732794
