,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.855,BDTScoretauhtauevsAll >= 0.9918
JetMET,6466.0,6313.0,3099.0,250.0,8.0
Tau,1614.0,1602.0,446.0,31.0,0.0
EGamma,287.0,285.0,97.0,5.0,0.0
QCD Multijet,4233.33523501634,4098.9138326967,1179.6824430006081,197.24855604408276,0.0
TT Had,81.6928929177497,77.50203864336332,37.143454044404805,4.136934063161689,0.0
TT SL,429.3600750817846,411.5737207541402,313.7714451403805,29.006702744651527,2.977251240809974
TT LL,233.5397844599517,223.77343761548778,179.3051840564757,12.224183807047964,1.4376246970791275
DY+Jets,1163.178159193995,1158.2076537611592,1118.1676691459515,21.37592472693845,0.8448592812407579
W+Jets,86.09091923785037,83.61817889761028,29.3220238468744,5.5441861423236665,0.0
Z+Jets,70.51848167793958,68.14858811562107,23.749807602307147,10.164585097297172,0.0
Hbb,5.830023804532534,5.666752643501794,3.789482301553202,2.1474010964808308,0.09199165013056015
ggF HHbb$\tau\tau$,0.397740778133505,0.3925108507201412,0.3560204903640126,0.21942218769264152,0.027852784195783686
VBF HHbb$\tau\tau$ (SM),0.0072256307784877,0.006993498649714526,0.006286692545198473,0.003859940178435232,0.0004324631203948847
ggF HHbb$\tau_h e$,0.09328986698798462,0.09155921041997474,0.0843160366399895,0.051791717583749425,0.024768334560177047
VBF HHbb$\tau_h e$ (SM),0.0016686078040201442,0.0016042010417510475,0.0014649380737400595,0.0009036709049931854,0.00039902862031374433
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),1.110246864527124,1.0996202170600167,1.0410876569718812,0.7478650074286015,0.3191311939025462
