,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,ttFatJetParTXtauhtauhvsQCDTop >= 0.3,bbFatJetParTXbbvsQCD < 0.907 or BDTScoretauhtauhvsAll < 0.996
JetMET,12751.0,12398.0,5431.0,5413.0,5412.0
Tau,2231.0,2215.0,1040.0,1030.0,1030.0
QCD Multijet,7620.30881606109,7420.837102829285,3369.9096605881136,3369.776577625214,3369.776577625214
TT Had,193.8309941775222,183.58857267153726,111.56694584138424,111.56694584138424,111.53545962502837
TT SL,517.1401530401624,493.8022220056271,233.4841015199156,227.46589753476115,227.31598080843904
TT LL,232.90652431349426,221.62405902042204,97.33744303962393,94.47303877952005,94.47303877952005
DY+Jets,1479.8923549689725,1474.300086487992,1088.3551510432212,1086.9783970752194,1086.0498573661775
W+Jets,189.53871274327156,186.1219490984779,91.38107349677918,90.52497638304936,90.52497638304936
Z+Jets,144.50235272674706,140.28555599077478,48.22162690596872,48.20460419559504,48.20460419559504
Hbb,7.905910461670486,7.685216440991159,3.0997019440680518,3.0854213899559593,3.045127126406393
ggF HHbb$\tau\tau$,0.45900504184350743,0.4527774732350655,0.32009428923904987,0.3200502454705479,0.2789112883202906
VBF HHbb$\tau\tau$ (SM),0.008106043151520328,0.007842290834494168,0.005519037845091571,0.005519037845091571,0.00478912767683179
ggF HHbb$\tau_h\tau_h$,0.25410872649539107,0.25107198954261845,0.17496284165539117,0.17492781624174236,0.13517951341122883
VBF HHbb$\tau_h\tau_h$ (SM),0.004442506687092125,0.0042985983543060826,0.0029362127654718956,0.0029362127654718956,0.0022253248606255377
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),2.5029578083573467,2.4832438056569015,1.9707357298708585,1.9707138939152118,1.3911752720121862
