,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,ttFatJetParTXtauhtauhvsQCDTop >= 0.3,bbFatJetParTXbbvsQCD < 0.907 or BDTScoretauhtauhvsAll < 0.996
JetMET,6647.0,6521.0,2984.0,2971.0,2971.0
Tau,1498.0,1489.0,660.0,656.0,656.0
QCD Multijet,4089.9623535858896,3988.6877690159577,1574.2686342727757,1573.5830508077038,1573.5830508077038
TT Had,114.35433109313936,107.33602027715901,67.01297821664448,67.00773615213056,67.00773615213056
TT SL,293.567996243342,280.5065655299089,132.2609015246971,128.16645428512572,128.16645428512572
TT LL,129.00230505030584,123.68184432548972,54.42149408132646,52.24632781630542,52.24632781630542
DY+Jets,766.0979906878351,762.1707573747794,536.6457978030912,535.9135115696907,535.8950950803619
W+Jets,109.46782410101228,107.5788841308364,46.28210837649367,45.63126580138122,45.63126580138122
Z+Jets,80.93262884666586,78.89789112693691,25.752406257361685,25.662136355791908,25.662136355791908
Hbb,4.361784830227289,4.261407944883134,1.7364515107893301,1.7361532638345225,1.7135852931325546
ggF HHbb$\tau\tau$,0.24842220783934188,0.24495879732898299,0.17236249863057979,0.17231167947557768,0.15064528448244544
VBF HHbb$\tau\tau$ (SM),0.0044129215372231585,0.004263217503672699,0.0029702618695432214,0.0029702618695432214,0.0026036834614750546
ggF HHbb$\tau_h\tau_h$,0.1372335034129808,0.13545883580507334,0.0931439524797482,0.09311772736244049,0.07206945018010166
VBF HHbb$\tau_h\tau_h$ (SM),0.002382897717421583,0.002301763883810537,0.0015564524852721053,0.0015564524852721053,0.0012055849166814456
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),1.3324480816839295,1.3221200560547808,1.0495334395445783,1.0495334395445783,0.745729624975262
