,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD >= 0.907,BDTScoretauhtauhvsAll >= 0.996
JetMET,6647.0,6521.0,2984.0,176.0,0.0
Tau,1498.0,1489.0,660.0,20.0,0.0
QCD Multijet,4089.9623535858896,3988.6877690159577,1574.2686342727757,96.55167121406379,0.0
TT Had,114.35433109313936,107.33602027715901,67.01297821664448,2.9128829134150536,0.0
TT SL,293.567996243342,280.5065655299089,132.2609015246971,4.139737539513985,0.0
TT LL,129.00230505030584,123.68184432548972,54.42149408132646,1.0547896414392712,0.0
DY+Jets,766.0979906878351,762.1707573747794,536.6457978030912,4.545743942811754,0.018416489328918817
W+Jets,109.46782410101228,107.5788841308364,46.28210837649367,0.4097369714200103,0.0
Z+Jets,80.93262884666586,78.89789112693691,25.752406257361685,7.242751705771084,0.0
Hbb,4.361784830227289,4.261407944883134,1.7364515107893301,0.7380136510122123,0.022567970701967914
ggF HHbb$\tau\tau$,0.24842220783934188,0.24495879732898299,0.17236249863057979,0.08469103642512307,0.02166639499313225
VBF HHbb$\tau\tau$ (SM),0.0044129215372231585,0.004263217503672699,0.0029702618695432214,0.0015154953296182543,0.0003665784080681667
ggF HHbb$\tau_h\tau_h$,0.1372335034129808,0.13545883580507334,0.0931439524797482,0.0458528765922471,0.021048277182338825
VBF HHbb$\tau_h\tau_h$ (SM),0.002382897717421583,0.002301763883810537,0.0015564524852721053,0.000774809271686194,0.00035086756859065995
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),1.3324480816839295,1.3221200560547808,1.0495334395445783,0.6403280692289347,0.3038038145693164
