,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.731,BDTScoretauhtaumvsAll >= 0.8
JetMET,30312.0,29603.0,24029.0,2652.0,731.0
Tau,1866.0,1848.0,903.0,101.0,42.0
Muon,5068.0,4977.0,3696.0,231.0,121.0
QCD Multijet,8478.109954053045,8281.395309477086,3932.5586493638543,398.1240285289005,117.0606383878287
TT Had,350.5204027255555,338.0721471655553,261.8300558237129,33.7777538533669,4.505235883372907
TT SL,16173.187947395016,15946.998608242517,15056.075649358701,1054.2666066103593,232.6900433679001
TT LL,4429.37792572573,4353.263110032564,4092.3177977083956,682.047693216858,184.5740191777931
DY+Jets,1300.2614187250197,1284.0944688652016,1215.7809277063816,62.75558396160969,25.5526735576837
W+Jets,172.09717772748587,162.46318847221892,99.3607691958511,1.5816585573075386,-0.6706797992522076
Z+Jets,121.38799962172423,116.65185020412264,51.64743648467132,16.438614853621562,7.636940355145906
Hbb,13.563219269171498,13.332828010596671,10.829363086784642,7.070008969149018,3.8537239489743946
ggF HHbb$\tau\tau$,0.2625030919613719,0.25838932499772105,0.23400497899743075,0.17520493066856746,0.08738167383028109
VBF HHbb$\tau\tau$ (SM),0.0047997324153672225,0.004620346589483747,0.00408305194470148,0.0029027748475730503,0.0014416178565003982
ggF HHbb$\tau_h \mu$,0.05401487054660512,0.05299481310778072,0.049116284384335185,0.0372534916809193,0.035511150051372696
VBF HHbb$\tau_h \mu$ (SM),0.0010849427096098108,0.0010410069897815418,0.0009306194123144614,0.0006207654213474887,0.0006064196958608066
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),0.5430273333078257,0.5371944642091879,0.5082150026775111,0.4185586824678116,0.4147784954749837
