,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,ttFatJetParTXtauhtaumvsQCDTop >= 0.3,bbFatJetParTXbbvsQCD < 0.731 or BDTScoretauhtaumvsAll < 0.8
JetMET,60601.0,59353.0,47889.0,2283.0,2064.0
Tau,4755.0,4704.0,2289.0,303.0,253.0
Muon,11658.0,11485.0,8537.0,215.0,202.0
QCD Multijet,18067.03760010987,17693.987664097767,8175.849998466614,717.1960177959052,581.9137128771566
TT Had,722.2307844680279,700.6969256803659,558.5568600863191,19.61652218804734,17.201827996664804
TT SL,34974.82406832979,34510.63353371473,32757.150178219847,248.14048306963105,200.69314981373503
TT LL,9828.575315506172,9672.447407072697,9149.845774101554,147.2640560307372,107.21071588609212
DY+Jets,2819.0384031432545,2784.2900445172104,2652.023263776953,970.6264986280356,959.9109422830333
W+Jets,370.051229086043,357.08656460312545,207.9607990993456,15.84548333378122,12.055380536054766
Z+Jets,255.70091553141725,248.85375661988354,120.41716411143821,13.544285660028745,5.65737095921927
Hbb,28.851537356058948,28.292832546504435,22.55753872470686,2.9910947512498525,1.4179377808014793
ggF HHbb$\tau\tau$,0.5792342580661106,0.5700113234311002,0.5165599090157179,0.2791320107621842,0.14527581946521603
VBF HHbb$\tau\tau$ (SM),0.010563143115359792,0.010167838284653362,0.00907782441562933,0.004997187513917388,0.002681017260332048
ggF HHbb$\tau_h \mu$,0.12514594539735036,0.12307247872352373,0.11328121432663396,0.08632714331118035,0.02005159976096727
VBF HHbb$\tau_h \mu$ (SM),0.0023793548543278994,0.002302258178205818,0.0020762234725133838,0.0015278043025761317,0.00041201850536694577
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),1.1900536715080747,1.177572220415168,1.1169201918582914,1.024758050091273,0.17699122786969274
