,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.731,BDTScoretauhtaumvsAll >= 0.8
JetMET,32256.0,31767.0,25934.0,3073.0,832.0
Tau,3351.0,3319.0,1640.0,183.0,67.0
Muon,8718.0,8609.0,6547.0,347.0,186.0
QCD Multijet,9181.121317824454,9006.210827674779,4437.397029493874,703.990076189642,213.3529732869543
TT Had,403.238745742166,389.4489458004358,311.5472856082473,41.96578199557764,5.569336553309105
TT SL,18880.00183314572,18631.741941584576,17686.12372090613,1295.2067641192373,303.89245324303454
TT LL,5268.4965992896105,5178.229258424174,4896.528253866436,857.9961766667593,243.07506667177375
DY+Jets,1521.941125161662,1505.1070596262948,1428.4170915909995,72.5045818613961,26.451210878668245
W+Jets,202.57452297530367,198.51594612127116,121.29986688221942,6.177122268536357,2.952704049789391
Z+Jets,153.55542712574763,151.41621645682082,80.10280634063878,21.608476090160238,7.78103487841228
Hbb,15.164707833459254,14.904738777514106,11.806279368182807,7.344648143682795,3.9978972447992014
ggF HHbb$\tau\tau$,0.3115594645836921,0.30667052573375764,0.2789837419230931,0.2110945228491179,0.10490423908556315
VBF HHbb$\tau\tau$ (SM),0.0056798905917996075,0.005477871200939575,0.004929422195719363,0.0034470109770944235,0.0017225330925313585
ggF HHbb$\tau_h \mu$,0.06244581676871339,0.06145115823961541,0.05688121160551457,0.04243561951479187,0.04112784597755076
VBF HHbb$\tau_h \mu$ (SM),0.0012893669355053781,0.0012490349901170819,0.0011152015165298381,0.0007366387268152115,0.0007119541507493062
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),0.6333777004867167,0.6276195883368316,0.5955849934509175,0.49181419477906807,0.48723573985849666
