,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD < 0.91 or ttFatJetParTXtauhtauevsQCDTop < 0.999,ttFatJetParTXtauhtauevsQCDTop >= 0.3
JetMET,3000.0,2899.0,1436.0,1434.0,1427.0
Tau,681.0,675.0,194.0,194.0,190.0
EGamma,168.0,160.0,46.0,46.0,46.0
QCD Multijet,1909.4623229389074,1860.5687233960757,504.3348435098934,504.3348435098934,503.82527401457014
TT Had,39.43320758777243,37.198428472805276,15.449091457393175,15.449091457393175,15.396410792883245
TT SL,198.49997647274535,188.09341402579477,142.00395158314217,142.00395158314217,139.2838973482253
TT LL,108.23438124446326,103.36091658021387,82.78073750162545,82.7127752970726,80.88822787749896
DY+Jets,525.1971693486907,522.8664085462304,502.2375557393664,501.6020695349879,502.2062347343465
W+Jets,40.55022166873863,37.854863912767534,12.214018429813697,12.214018429813697,12.214018429813697
Z+Jets,33.67465792097879,31.98577464277432,8.594858081044961,8.594858081044961,8.594858081044961
Hbb,2.6157090831542766,2.5746127234861005,1.8307527114026025,1.799600838398589,1.7953643794664975
ggF HHbb$\tau_h e$,0.044008234112892605,0.04329767301114804,0.03967112004845068,0.030033007104106002,0.030033007104106002
VBF HHbb$\tau_h e$ (SM),0.0007378013877088225,0.0007152723779951223,0.0006540944391574024,0.00047633397700527443,0.00047633397700527443
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),0.5015596565272108,0.4965276904817649,0.47073043195020514,0.28509168690743397,0.28509168690743397
