,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD < 0.91 or ttFatJetParTXtauhtauevsQCDTop < 0.999,ttFatJetParTXtauhtauevsQCDTop >= 0.3
JetMET,12486.0,12091.0,5726.0,5720.0,5705.0
Tau,1909.0,1895.0,540.0,540.0,529.0
EGamma,400.0,387.0,113.0,113.0,110.0
QCD Multijet,6618.707135754944,6458.481884764044,1605.4657617469143,1605.4657617469143,1605.4063718025893
TT Had,143.7912862079276,136.36213557221473,56.720246861586745,56.720246861586745,56.720246861586745
TT SL,654.7505861057277,624.6314501786433,473.3450178940579,473.3450178940579,463.8541674965846
TT LL,351.591236241714,336.81726428823663,270.4948280459863,270.36315387461354,262.97305649166105
DY+Jets,1844.0795924092686,1833.442899659278,1761.2920280917601,1760.7013136833732,1757.5428368065354
W+Jets,152.80235983953747,142.44317422062812,51.50930155912326,51.50930155912326,51.386754869828835
Z+Jets,129.14857539812704,123.92391342973364,33.659119622629234,33.61380332932299,33.64592626987154
Hbb,8.334469759129833,8.135589562425839,5.258341746785588,5.151230774659028,5.1484495217540305
ggF HHbb$\tau_h e$,0.13712334250317615,0.13469006532353697,0.1244428260834441,0.09564930201240893,0.09564930201240893
VBF HHbb$\tau_h e$ (SM),0.0024717914909483376,0.0023860460571703823,0.002186518992472864,0.001609912201321062,0.0016095426410365475
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),1.6332942223171074,1.617582033249455,1.5339879273192276,0.9402036151429962,0.9401833806870459
