,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.91,ttFatJetParTXtauhtauevsQCDTop >= 0.999
JetMET,6466.0,6313.0,3099.0,148.0,0.0
Tau,1614.0,1602.0,446.0,17.0,0.0
EGamma,287.0,285.0,97.0,3.0,0.0
QCD Multijet,4233.33523501634,4098.9138326967,1179.6824430006081,165.29634455121428,0.0
TT Had,81.6928929177497,77.50203864336332,37.143454044404805,2.3406093527225074,0.0
TT SL,429.3600750817846,411.5737207541402,313.7714451403805,15.106356249591279,0.11826899696142125
TT LL,233.5397844599517,223.77343761548778,179.3051840564757,3.22096946457514,0.0
DY+Jets,1163.178159193995,1158.2076537611592,1118.1676691459515,13.388134127583864,1.6816987937426022
W+Jets,86.09091923785037,83.61817889761028,29.3220238468744,3.0677907340373465,0.0
Z+Jets,70.51848167793958,68.14858811562107,23.749807602307147,8.402148732328671,0.0
Hbb,5.830023804532534,5.666752643501794,3.789482301553202,1.7287096231079655,0.07901242499837327
ggF HHbb$\tau_h e$,0.09328986698798462,0.09155921041997474,0.0843160366399895,0.04010389384442807,0.018748392667637115
VBF HHbb$\tau_h e$ (SM),0.0016686078040201442,0.0016042010417510475,0.0014649380737400595,0.0007515737380958658,0.0004023101301441585
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),1.110246864527124,1.0996202170600167,1.0410876569718812,0.6424182545465943,0.4060374236374421
