,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.91,ttFatJetParTXtauhtauevsQCDTop >= 0.999
JetMET,3419.0,3360.0,1710.0,72.0,1.0
Tau,1095.0,1092.0,302.0,10.0,0.0
EGamma,173.0,166.0,54.0,1.0,0.0
QCD Multijet,2031.436876777179,1994.11154213589,456.50938845502844,40.36474536691937,0.0
TT Had,46.25884085587515,43.10115065663851,21.09996328541616,0.6534173451554212,0.0
TT SL,226.34974878151354,217.67890863109116,166.15710545651615,6.804974222111403,0.04227787241346036
TT LL,126.46088506414088,121.29531026973154,97.23160494404395,2.207724543181207,0.05940978797453202
DY+Jets,609.9545337275467,607.1442048599713,586.5990816002303,4.945606054211137,0.8419485780208563
W+Jets,39.178677095222156,39.68722194827492,14.959593773395751,-0.40540111775765403,0.0
Z+Jets,40.797908790038505,40.05684907226317,13.674339605547662,3.8049562227877645,0.0
Hbb,3.0749200789985194,3.0234588296647167,2.002304407038946,0.9939150620016399,0.04197004610687116
ggF HHbb$\tau_h e$,0.052236465678384955,0.05126838475205586,0.047806420127351174,0.022958798024383567,0.011022289579144655
VBF HHbb$\tau_h e$ (SM),0.000923206654738956,0.0008832966460841813,0.0008300900947458274,0.0004205428189892269,0.00022433608725185846
VBF HHbb$\tau_h e$ ($\kappa_{2V}=0$),0.5860381141666122,0.580325312201216,0.5492402030925961,0.3367713893592664,0.2110915565593322
