,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD >= 0.91,ttFatJetParTXtauhtauhvsQCDTop >= 0.999
JetMET,6045.0,5816.0,2563.0,139.0,2.0
Tau,876.0,870.0,430.0,20.0,0.0
QCD Multijet,3646.172075696225,3550.661968446777,1478.2406895830384,67.60137348326437,0.0
TT Had,91.39574738974021,86.01511651587154,51.94317886081055,1.7090918386652223,0.0
TT SL,226.25945629193905,216.4178164318351,94.3826319920664,2.6932544841049415,0.0
TT LL,103.7871576717723,99.22578243708026,39.68227292756997,0.7774581317408321,0.0
DY+Jets,677.0627250765843,673.8390883071513,491.0880298155453,6.39299223051133,1.0600430151997493
W+Jets,76.82287764151708,72.99178466788179,27.755924921904967,-0.21654835735806974,0.0
Z+Jets,79.94509473558537,76.70647554355205,18.155470784598748,5.13212564814246,0.0
Hbb,3.4010267537040413,3.3470368981551686,1.2750889333986994,0.5065447544683417,0.047648297398457266
ggF HHbb$\tau_h\tau_h$,0.11561909904214578,0.11446152520057157,0.07998494740671047,0.036570901689623854,0.025102374727075175
VBF HHbb$\tau_h\tau_h$ (SM),0.0019825937781062317,0.0019234858455091893,0.0012907184732464634,0.0006407946720153712,0.00048425059105517917
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),1.14009370970765,1.1309809005220797,0.9019352173789565,0.541337481669099,0.44030288431567105
