,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD < 0.91 or ttFatJetParTXtauhtauhvsQCDTop < 0.999,ttFatJetParTXtauhtauhvsQCDTop >= 0.3
JetMET,12751.0,12398.0,5431.0,5428.0,5410.0
Tau,2231.0,2215.0,1040.0,1040.0,1030.0
QCD Multijet,7620.30881606109,7420.837102829285,3369.9096605881136,3369.8336989313875,3369.7006159684875
TT Had,193.8309941775222,183.58857267153726,111.56694584138424,111.44840248949993,111.44840248949993
TT SL,517.1401530401624,493.8022220056271,233.4841015199156,233.33418479359352,227.31598080843904
TT LL,232.90652431349426,221.62405902042204,97.33744303962393,97.33744303962393,94.47303877952005
DY+Jets,1479.8923549689725,1474.300086487992,1088.3551510432212,1087.5385135382849,1086.161759570283
W+Jets,189.53871274327156,186.1219490984779,91.38107349677918,91.38107349677918,90.52497638304936
Z+Jets,144.50235272674706,140.28555599077478,48.22162690596872,48.22162690596872,48.20460419559504
Hbb,7.905910461670486,7.685216440991159,3.0997019440680518,2.987884701071984,2.9736041469598913
ggF HHbb$\tau_h\tau_h$,0.25410872649539107,0.25107198954261845,0.17496284165539117,0.11739004426765998,0.11735501885401117
VBF HHbb$\tau_h\tau_h$ (SM),0.004442506687092125,0.0042985983543060826,0.0029362127654718956,0.0018447043576849127,0.0018447043576849127
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),2.5029578083573467,2.4832438056569015,1.9707357298708585,1.0072488047107242,1.0072269687550772
