,bbFatJetPt >= 250,ttFatJetPt >= 200,50 ≤ ttFatJetPNetmassLegacy < 150,bbFatJetParTXbbvsQCD >= 0.91,ttFatJetParTXtauhtauhvsQCDTop >= 0.999
JetMET,6647.0,6521.0,2984.0,174.0,1.0
Tau,1498.0,1489.0,660.0,20.0,0.0
QCD Multijet,4089.9623535858896,3988.6877690159577,1574.2686342727757,95.91913793049991,0.0
TT Had,114.35433109313936,107.33602027715901,67.01297821664448,2.8668456474957393,0.0
TT SL,293.567996243342,280.5065655299089,132.2609015246971,3.779640367102878,0.002341985625933095
TT LL,129.00230505030584,123.68184432548972,54.42149408132646,0.9610546045911881,0.0
DY+Jets,766.0979906878351,762.1707573747794,536.6457978030912,4.182061056835401,-0.48210085982533096
W+Jets,109.46782410101228,107.5788841308364,46.28210837649367,0.241335107308824,0.0
Z+Jets,80.93262884666586,78.89789112693691,25.752406257361685,7.051985638027785,0.0
Hbb,4.361784830227289,4.261407944883134,1.7364515107893301,0.725945854309155,0.06126766460148543
ggF HHbb$\tau_h\tau_h$,0.1372335034129808,0.13545883580507334,0.0931439524797482,0.04501210013698437,0.03109381300170103
VBF HHbb$\tau_h\tau_h$ (SM),0.002382897717421583,0.002301763883810537,0.0015564524852721053,0.0007676119793583545,0.0005671294500485509
VBF HHbb$\tau_h\tau_h$ ($\kappa_{2V}=0$),1.3324480816839295,1.3221200560547808,1.0495334395445783,0.6328672847262963,0.5035976417146009
