,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD < 0.85 or ttFatJetParTXtauhtaumvsQCDTop < 0.99,ttFatJetParTXtauhtaumvsQCDTop >= 0.3
JetMET,107686.0,104941.0,82119.0,82101.0,4586.0
Tau,5297.0,5234.0,2293.0,2293.0,371.0
Muon,13450.0,13205.0,9345.0,9345.0,358.0
QCD Multijet,29666.354517700314,28976.214696469575,13244.176400460412,13244.146596948758,1036.4150342863845
TT Had,1198.7264276292585,1153.8469825113705,898.4388876017736,898.4388876017736,30.033132444442735
TT SL,52424.879838273424,51692.25987462262,48807.297835332036,48806.87207989302,396.23245768837114
TT LL,14355.662378837083,14097.189892993152,13251.974777794425,13251.6192350005,218.8369437872459
DY+Jets,4464.701699334118,4414.613678771836,4191.234411667588,4186.2528110318435,1609.0932227886478
W+Jets,613.789126601343,587.4645703060446,360.58804904816736,360.58804904816736,12.031010425766706
Z+Jets,437.58956011088515,418.1749298233244,199.32723768214618,199.28192138883992,20.91965711961516
Hbb,40.695662355688725,39.96334744455342,30.247461732568464,30.070409764795684,4.173911575441128
ggF HHbb$\tau_h \mu$,0.18182743557993736,0.1785923027386898,0.16457449795998697,0.11612063245997045,0.07530456904531525
VBF HHbb$\tau_h \mu$ (SM),0.003175469473603105,0.0030591313354474455,0.0027798846597633002,0.001917682383063335,0.0011695951384266719
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),1.7771184520891614,1.7576533777818193,1.666337218178424,0.7744780287280333,0.645001165265018
