,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.85,ttFatJetParTXtauhtaumvsQCDTop >= 0.99
JetMET,107686.0,104941.0,82119.0,3992.0,18.0
Tau,5297.0,5234.0,2293.0,94.0,0.0
Muon,13450.0,13205.0,9345.0,185.0,0.0
QCD Multijet,29666.354517700314,28976.214696469575,13244.176400460412,688.7958721180397,0.029803511655073896
TT Had,1198.7264276292585,1153.8469825113705,898.4388876017736,53.21865790783391,0.0
TT SL,52424.879838273424,51692.25987462262,48807.297835332036,1562.6936684067068,0.42575543900356183
TT LL,14355.662378837083,14097.189892993152,13251.974777794425,620.5651663831931,0.35554279392007426
DY+Jets,4464.701699334118,4414.613678771836,4191.234411667588,88.26931410325722,4.981600635744808
W+Jets,613.789126601343,587.4645703060446,360.58804904816736,11.384917631853218,0.0
Z+Jets,437.58956011088515,418.1749298233244,199.32723768214618,42.83644422804138,0.04531629330623841
Hbb,40.695662355688725,39.96334744455342,30.247461732568464,15.486752181342755,0.1770519677727889
ggF HHbb$\tau_h \mu$,0.18182743557993736,0.1785923027386898,0.16457449795998697,0.0962090767129638,0.04845386550001653
VBF HHbb$\tau_h \mu$ (SM),0.003175469473603105,0.0030591313354474455,0.0027798846597633002,0.0014950222974093436,0.0008622022766999651
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),1.7771184520891614,1.7576533777818193,1.666337218178424,1.1807935809785253,0.8918591894503904
