,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD < 0.85 or ttFatJetParTXtauhtaumvsQCDTop < 0.99,ttFatJetParTXtauhtaumvsQCDTop >= 0.3
JetMET,60601.0,59353.0,47889.0,47885.0,2279.0
Tau,4755.0,4704.0,2289.0,2289.0,303.0
Muon,11658.0,11485.0,8537.0,8537.0,215.0
QCD Multijet,18067.03760010987,17693.987664097767,8175.849998466614,8175.849998466614,717.1960177959052
TT Had,722.2307844680279,700.6969256803659,558.5568600863191,558.5310246062436,19.59068670797183
TT SL,34974.82406832979,34510.63353371473,32757.150178219847,32756.78621719897,247.7765220487331
TT LL,9828.575315506172,9672.447407072697,9149.845774101554,9149.568056619817,146.98633854900007
DY+Jets,2819.0384031432545,2784.2900445172104,2652.023263776953,2650.112774302288,968.7160091533709
W+Jets,370.051229086043,357.08656460312545,207.9607990993456,207.9607990993456,15.84548333378122
Z+Jets,255.70091553141725,248.85375661988354,120.41716411143821,120.43381682857719,13.560938377167725
Hbb,28.851537356058948,28.292832546504435,22.55753872470686,22.454279386414463,2.887835412957455
ggF HHbb$\tau_h \mu$,0.12514594539735036,0.12307247872352373,0.11328121432663396,0.07583367205602191,0.04887960104056831
VBF HHbb$\tau_h \mu$ (SM),0.0023793548543278994,0.002302258178205818,0.0020762234725133838,0.00143611796958047,0.0008876987996432182
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),1.1900536715080747,1.177572220415168,1.1169201918582914,0.5115125208562674,0.419350379089249
