,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.85,ttFatJetParTXtauhtaumvsQCDTop >= 0.99
JetMET,60601.0,59353.0,47889.0,2488.0,4.0
Tau,4755.0,4704.0,2289.0,97.0,0.0
Muon,11658.0,11485.0,8537.0,153.0,0.0
QCD Multijet,18067.03760010987,17693.987664097767,8175.849998466614,606.1474910289237,0.0
TT Had,722.2307844680279,700.6969256803659,558.5568600863191,38.30785469703987,0.025835480075512996
TT SL,34974.82406832979,34510.63353371473,32757.150178219847,1109.9539674810767,0.3639610208979625
TT LL,9828.575315506172,9672.447407072697,9149.845774101554,460.39087832529617,0.27771748173713956
DY+Jets,2819.0384031432545,2784.2900445172104,2652.023263776953,57.819817760124195,1.9104894746647396
W+Jets,370.051229086043,357.08656460312545,207.9607990993456,17.43974846035368,0.0
Z+Jets,255.70091553141725,248.85375661988354,120.41716411143821,30.026585830590275,-0.01665271713898022
Hbb,28.851537356058948,28.292832546504435,22.55753872470686,11.981174439057199,0.10325933829239806
ggF HHbb$\tau_h \mu$,0.12514594539735036,0.12307247872352373,0.11328121432663396,0.06972522334932038,0.03744754227061206
VBF HHbb$\tau_h \mu$ (SM),0.0023793548543278994,0.002302258178205818,0.0020762234725133838,0.0011822057770263033,0.0006401055029329135
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),1.1900536715080747,1.177572220415168,1.1169201918582914,0.8018049554993782,0.6054076710020241
