,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD < 0.85 or ttFatJetParTXtauhtaumvsQCDTop < 0.99,ttFatJetParTXtauhtaumvsQCDTop >= 0.3
JetMET,32256.0,31767.0,25934.0,25933.0,1231.0
Tau,3351.0,3319.0,1640.0,1640.0,196.0
Muon,8718.0,8609.0,6547.0,6547.0,149.0
QCD Multijet,9181.121317824454,9006.210827674779,4437.397029493874,4437.397029493874,334.6825296730068
TT Had,403.238745742166,389.4489458004358,311.5472856082473,311.5472856082473,11.996307189132022
TT SL,18880.00183314572,18631.741941584576,17686.12372090613,17686.050771182992,136.4399062860312
TT LL,5268.4965992896105,5178.229258424174,4896.528253866436,4896.014000965558,81.35535343990966
DY+Jets,1521.941125161662,1505.1070596262948,1428.4170915909995,1428.017399241271,522.6434626946901
W+Jets,202.57452297530367,198.51594612127116,121.29986688221942,121.29986688221942,6.727774840981716
Z+Jets,153.55542712574763,151.41621645682082,80.10280634063878,80.10280634063878,8.308115831749179
Hbb,15.164707833459254,14.904738777514106,11.806279368182807,11.747508064678321,1.4475104654987079
ggF HHbb$\tau_h \mu$,0.06244581676871339,0.06145115823961541,0.05688121160551457,0.03892311313404633,0.02489513627739163
VBF HHbb$\tau_h \mu$ (SM),0.0012893669355053781,0.0012490349901170819,0.0011152015165298381,0.0007485310861865804,0.00045065201597574607
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),0.6333777004867167,0.6276195883368316,0.5955849934509175,0.27426807343060716,0.22600467712098554
