,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.851025641025641,ttFatJetParTXtauhtaumvsQCDTop >= 0.9887948717948718
JetMET,107686.0,104941.0,82119.0,3956.0,19.0
Tau,5297.0,5234.0,2293.0,93.0,0.0
Muon,13450.0,13205.0,9345.0,182.0,0.0
QCD Multijet,29666.354517700314,28976.214696469575,13244.176400460412,669.4230919875718,0.029803511655073896
TT Had,1198.7264276292585,1153.8469825113705,898.4388876017736,52.41468266945594,0.0
TT SL,52424.879838273424,51692.25987462262,48807.297835332036,1548.4357327807638,0.42575543900356183
TT LL,14355.662378837083,14097.189892993152,13251.974777794425,611.821061734004,0.35554279392007426
DY+Jets,4464.701699334118,4414.613678771836,4191.234411667588,88.29234692559265,5.512559177737102
W+Jets,613.789126601343,587.4645703060446,360.58804904816736,11.384917631853218,0.0
Z+Jets,437.58956011088515,418.1749298233244,199.32723768214618,42.79721296033733,0.04531629330623841
Hbb,40.695662355688725,39.96334744455342,30.247461732568464,15.448339956735747,0.18849495019393966
ggF HHbb$\tau_h \mu$,0.18182743557993736,0.1785923027386898,0.16457449795998697,0.09602153198270688,0.04854812484480446
VBF HHbb$\tau_h \mu$ (SM),0.003175469473603105,0.0030591313354474455,0.0027798846597633002,0.0014931618280969435,0.0008647659538212651
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),1.7771184520891614,1.7576533777818193,1.666337218178424,1.1789438639316605,0.8944019439319417
