,bbFatJetPt >= 250,ttFatJetPt >= 200,70 ≤ ttFatJetParTmassResApplied < 210,bbFatJetParTXbbvsQCD >= 0.851025641025641,ttFatJetParTXtauhtaumvsQCDTop >= 0.9887948717948718
JetMET,32256.0,31767.0,25934.0,1412.0,1.0
Tau,3351.0,3319.0,1640.0,76.0,0.0
Muon,8718.0,8609.0,6547.0,133.0,0.0
QCD Multijet,9181.121317824454,9006.210827674779,4437.397029493874,435.6718929121844,0.0
TT Had,403.238745742166,389.4489458004358,311.5472856082473,17.632629638642754,0.0
TT SL,18880.00183314572,18631.741941584576,17686.12372090613,591.4096871069623,0.07294972313502993
TT LL,5268.4965992896105,5178.229258424174,4896.528253866436,236.15843405678294,0.5142529008773773
DY+Jets,1521.941125161662,1505.1070596262948,1428.4170915909995,30.547543907830935,0.6436367610710976
W+Jets,202.57452297530367,198.51594612127116,121.29986688221942,2.4058645023797367,0.0
Z+Jets,153.55542712574763,151.41621645682082,80.10280634063878,16.55483145983389,0.0
Hbb,15.164707833459254,14.904738777514106,11.806279368182807,5.972143790734991,0.06391948737495097
ggF HHbb$\tau_h \mu$,0.06244581676871339,0.06145115823961541,0.05688121160551457,0.0334084183781032,0.017907758979017932
VBF HHbb$\tau_h \mu$ (SM),0.0012893669355053781,0.0012490349901170819,0.0011152015165298381,0.0006122421210481351,0.00036667663847925376
VBF HHbb$\tau_h \mu$ ($\kappa_{2V}=0$),0.6333777004867167,0.6276195883368316,0.5955849934509175,0.425640238418391,0.32212052655607604
